Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,post_impressions_unique:lifetime,post_impressions_organic_unique:lifetime,post_impressions_paid_unique:lifetime,post_impressions:lifetime,post_impressions_organic:lifetime,post_impressions_paid:lifetime,post_engaged_users:lifetime,post_consumptions_unique:lifetime,post_consumptions:lifetime,post_negative_feedback:lifetime,post_impressions_fan:lifetime,post_impressions_fan_unique:lifetime,post_impressions_fan_paid:lifetime,post_impressions_fan_paid_unique:lifetime,post_engaged_fan:lifetime,post_video_complete_views_organic_unique:lifetime,post_video_complete_views_organic:lifetime,post_video_complete_views_paid_unique:lifetime,post_video_complete_views_paid:lifetime,post_video_views_organic_unique:lifetime,post_video_views_organic:lifetime,post_video_views_paid_unique:lifetime,post_video_views_paid:lifetime,post_video_avg_time_watched:lifetime,post_video_length:lifetime
1517032341862724_1898097480422873,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1898097480422873:0,"Que rápido  pasa el tiempo!! Ya el primer año de una historia llena de tantas locuras, risas y gente tan cool, tan Mcklein como solo ustedes lo son...   Recordar el primer día en McKlein es increíble, así como lo es recordar el comienzo de esta aventura en el parque rojo del centro de Guadalajara.  Solo nos resta agradecerles a todos ustedes una vez más por ser parte de esta gran aventura y aún más, el ser parte de la familia McKlein...   #milgracias #losamamosmil #aniversariomcklein #cómemebeibi",Photo,,,3/13/17 12:06 PM, ,1730,1668,0,3266,3182,0,44,31,34,0,3144,1641,0,0,36,0,0,0,0,0,0,0,0,0,0
1517032341862724_1896581453907809,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1896581453907809:0,"¡LLEGO EL DÍA!  Aún estas a tiempo, estaremos hasta las 9:00 pm  Tenemos REGALOS  y PROMOCIONES todo el día, tráete a tu MEDIA MANZANA, papas, hermanos, primos, perro, gato, y hasta el perico de ser necesario. ¡PERO NO PUEDES FALTAR!  #elcumpleañosmcklein #familiamcklein #graciastotales #cómemebeibi",Photo,,,3/12/17 4:30 PM, ,2079,1946,0,3782,3612,0,57,34,46,0,3576,1915,0,0,47,0,0,0,0,0,0,0,0,0,0
1517032341862724_1896580277241260,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1896580277241260:0,"¡LLEGO EL DÍA!  Los esperamos a partir de las 2:00 pm, para festejar.  Tendremos REGALOS  para las primeras personas y PROMOCIONES todo el día, tráete a tu MEDIA MANZANA, papas, hermanos, primos, perro, gato, y hasta el perico de ser necesario. ¡PERO NO PUEDES FALTAR!  #elcumpleañosmcklein #familiamcklein #graciastotales #cómemebeibi",Photo,,,3/12/17 11:00 AM, ,2501,2285,0,4152,3877,0,98,67,87,1,3846,2249,0,0,87,0,0,0,0,0,0,0,0,0,0
1517032341862724_1896576490574972,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1896576490574972:0,Para este día  una deliciosa #McKleinclásica.... #cómemebeibi #aniversariomcklein  *Recuerda visitarnos EN NUESTRO CUMPLEAÑOS mañana 12 de Marzo *,Photo,,,3/11/17 12:00 PM, ,1657,1626,0,3385,3341,0,29,20,27,0,3309,1595,0,0,24,0,0,0,0,0,0,0,0,0,0
1517032341862724_1896575073908447,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1896575073908447:0,Todos tenemos un lado dulce. ¡Hoy deja espacio para una McKlein! #cómemebeibi  *Recuerda visitarnos  EN NUESTRO CUMPLEAÑOS este 12 de Marzo y sorprenderte con algunos regalos que tenemos para ti*,Photo,,,3/10/17 12:00 PM, ,1392,1339,0,2757,2695,0,56,30,36,0,2661,1307,0,0,51,0,0,0,0,0,0,0,0,0,0
1517032341862724_1895584817340806,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1895584817340806:0,Por eso y más los amamos tanto <3  #cómemebeibi #primeraniversario #manzanasmcklein,Photo,,,3/9/17 12:00 PM, ,1358,1286,0,2688,2609,0,42,26,34,0,2568,1253,0,0,36,0,0,0,0,0,0,0,0,0,0
1517032341862724_1895417767357511,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1895417767357511:0,"VENTE A FESTEJAR NUESTRO PRIMER ANIVERSARIO!!????????  ESTE 12 DE MARZO 2017 te esperamos en Av.18 de Marzo 5279-A, TENDREMOS REGALOS PARA LAS PRIMERAS PERSONAS Y PROMOCIONES TODO EL DÍA, TRÁETE A TU MEDIA MANZANA, PAPÀS, HERMANOS, PRIMOS, PERRO, GATO Y HASTA EL PERICO DE SER NECESARIO, PERO NO PUEDES FALTAR!!  NO HABRÁ MAGOS NI PAYASOS, pero estará el equipo McKlein que es casi lo mismo.  #elcumpleañosmcklein #familiamcklein #graciastotales #comemebeibi",Photo,,,3/8/17 12:05 PM, ,24302,2980,19667,37809,7945,25079,1330,1079,1637,0,12481,4061,3732,1497,490,0,0,0,0,0,0,0,0,0,0
1517032341862724_1895129297386358,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1895129297386358:0,"¡FELIZ DÍA BEIBIS! Como diría mi compadre Vicente Fernandez..  ""MUJERES TAN DIVINAS, NO QUEDA OTRO CAMINO QUE ADORARLAS""  Hoy los hombres invitan las #McKlein   #queharíamossinustedes #cómemebeibi",Photo,,,3/8/17 8:00 AM, ,1404,1086,0,3157,2687,0,53,24,24,0,2875,1182,0,0,44,0,0,0,0,0,0,0,0,0,0
1517032341862724_1893045380928083,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1893045380928083:0,¡Mi ultrasonido luce así hoy ! Ay mamá no tengo nada solo quiero una #McKlein  #cómemebeibi #manzanasmcklein,Photo,,,3/4/17 12:00 PM, ,1480,1410,0,3367,3278,0,40,19,23,1,3231,1376,0,0,34,0,0,0,0,0,0,0,0,0,0
1517032341862724_1892390810993540,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1892390810993540,Así como ellos repartan amor con su media manzana ;)  #cómemebeibi,Link,,,3/2/17 12:23 PM, ,689,627,0,1070,994,0,29,7,7,1,950,595,0,0,27,0,0,0,0,0,0,0,0,0,0
1517032341862724_1891346884431266,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1891346884431266:0,Jalo!  Quien dice yo?  #cómemebeibi,Photo,,,2/28/17 12:00 PM, ,2107,1322,682,3457,2591,743,100,50,62,0,2536,1284,0,0,62,0,0,0,0,0,0,0,0,0,0
