Date,page_fans:lifetime,page_fan_adds_unique:day,page_fan_removes_unique:day,page_engaged_users:day,page_engaged_users:days_28,page_impressions_unique:day,page_impressions_unique:days_28,page_impressions_organic_unique:day,page_impressions_organic_unique:days_28,page_impressions_paid_unique:day,page_impressions_paid_unique:days_28,page_impressions:day,page_impressions:days_28,page_impressions_organic:day,page_impressions_organic:days_28,page_impressions_paid:day,page_impressions_paid:days_28,page_views_logged_in_total:day,page_views_logged_in_unique:day,page_posts_impressions_unique:day,page_posts_impressions_unique:days_28,page_posts_impressions_organic_unique:day,page_posts_impressions_organic_unique:days_28,page_posts_impressions_paid_unique:day,page_posts_impressions_paid_unique:days_28,page_posts_impressions:day,page_posts_impressions:days_28,page_posts_impressions_organic:day,page_posts_impressions_organic:days_28,page_posts_impressions_paid:day,page_posts_impressions_paid:days_28,page_consumptions_unique:day,page_consumptions_unique:days_28,page_consumptions:day,page_consumptions:days_28,page_negative_feedback_unique:day,page_negative_feedback_unique:days_28,page_negative_feedback:day,page_negative_feedback:days_28,page_places_checkin_total:day,page_places_checkin_total:days_28,page_places_checkin_total_unique:day,page_places_checkin_total_unique:days_28,page_places_checkin_mobile:day,page_places_checkin_mobile:days_28,page_places_checkin_mobile_unique:day,page_places_checkin_mobile_unique:days_28,page_video_views:day,page_video_views:days_28,page_video_views_autoplayed:day,page_video_views_autoplayed:days_28,page_video_views_paid:day,page_video_views_paid:days_28,page_video_views_organic:day,page_video_views_organic:days_28
6/7/17,9651,3,0,397,6384,3521,42428,709,6247,2831,28309,4428,123121,1125,40340,2849,60428,23,18,3493,37480,690,5752,2831,28309,4269,111813,1083,38208,2849,60428,383,4607,451,7488,0,1,0,1,0,12,0,7,0,0,0,0,0,161,0,128,0,0,0,161
6/8/17,9657,7,1,366,6409,3493,41093,490,5441,2950,28193,3957,118214,696,36034,3018,61215,18,13,3461,36323,476,4754,2950,28193,3868,107442,650,34044,3018,61215,341,4684,386,7408,0,1,0,1,0,11,0,6,0,0,0,0,3,141,3,109,0,0,3,141
6/9/17,9664,7,1,500,6552,5809,41232,2204,5743,3145,27694,8851,121388,3870,37307,3290,62129,40,29,5801,36491,2193,5274,3145,27694,8695,110788,3769,35306,3290,62129,461,4816,597,7784,0,1,0,1,0,8,0,5,0,0,0,0,8,141,6,110,0,0,8,141
6/10/17,9677,14,3,585,6643,8248,43330,1328,5920,5649,29078,11281,128505,2229,37710,6105,66600,55,46,7738,38510,1292,5447,5649,29078,10118,116997,2073,35650,6105,66600,525,4980,672,8324,1,2,1,2,1,9,1,6,0,0,0,0,4,124,4,93,0,0,4,124
6/11/17,9682,7,2,356,6809,5258,44928,627,5974,3880,29868,6994,132492,1348,37469,4120,69720,17,16,5026,39724,593,5489,3880,29868,6320,120634,1211,35394,4120,69720,303,5251,396,8597,0,2,0,2,0,9,0,6,0,0,0,0,4,117,2,88,0,0,4,117
6/12/17,9689,10,3,322,6914,5762,45702,530,6016,4616,30600,6853,135201,970,37546,4913,71707,31,25,5723,40516,512,5536,4616,30600,6721,123450,909,35484,4913,71707,276,5399,326,8839,0,2,0,2,0,9,0,6,0,0,0,0,5,109,4,79,0,0,5,109
6/13/17,9697,9,1,260,6989,3996,46716,157,6071,3538,31154,4476,137412,264,37657,3665,73481,20,17,3982,41228,141,5567,3538,31154,4370,125738,198,35605,3665,73481,227,5502,263,9060,0,2,0,2,0,9,0,6,0,0,0,0,1,105,1,76,0,0,1,105
6/14/17,9706,10,1,155,6990,2908,46726,58,5995,2678,31181,3265,136691,123,36229,2842,74161,20,17,2875,41275,37,5508,2678,31181,3153,125096,55,34180,2842,74161,129,5564,181,9161,0,2,0,2,0,9,0,6,0,0,0,0,5,106,3,77,0,0,5,106
6/15/17,9716,11,1,100,6957,2800,46714,396,5947,2313,30885,3260,136407,595,35275,2385,74727,22,20,2776,41194,383,5489,2313,30885,3128,124803,526,33211,2385,74727,69,5588,87,9209,0,2,0,2,0,9,0,6,0,0,0,0,1,102,1,75,0,0,1,102
6/16/17,9720,7,3,239,6960,5871,48778,2609,6539,2385,31882,7737,140716,4109,37454,2497,76222,21,17,5866,43488,2598,6137,2385,31882,7579,129283,4017,35319,2497,76222,156,5672,257,9359,0,2,0,2,0,7,0,4,0,0,0,0,633,734,617,691,0,0,633,734
6/17/17,9734,15,1,265,7055,8870,51748,3304,7459,5194,34433,13071,151479,5984,42216,5634,80935,55,42,8673,46543,3284,7048,5194,34433,12635,139690,5851,39988,5634,80935,192,5813,257,9588,0,2,0,2,2,9,1,5,0,0,0,0,1537,2266,1509,2199,900,900,637,1366
6/18/17,9751,17,1,156,7045,11081,57363,2237,7862,8498,39648,13667,161892,3715,44024,8994,88730,41,27,10916,51919,2204,7469,8498,39648,13238,149713,3605,41711,8994,88730,114,5864,146,9696,0,2,0,2,0,9,0,5,0,0,0,0,1622,3885,1598,3795,1413,2313,209,1572
6/19/17,9760,11,2,227,7056,12278,65412,964,7932,10771,46463,14302,172492,1819,43763,11392,98795,34,29,12178,59608,932,7527,10771,46463,14099,160235,1698,41351,11392,98795,162,5947,231,9902,0,2,0,2,0,9,0,5,0,0,0,0,2224,6108,2193,5987,1971,4284,253,1824
6/20/17,9770,12,2,214,7126,13090,69907,3264,8284,9595,50893,16472,185510,4927,47164,10235,107549,35,32,13072,64323,3255,7892,9595,50893,16247,173346,4786,44629,10235,107549,161,6057,231,10085,0,2,0,2,0,9,0,5,0,0,0,0,1991,8090,1973,7954,1784,6068,207,2022
6/21/17,9791,22,1,146,7155,10005,73781,1234,8441,8540,54558,12095,194031,2322,47654,9169,115507,29,26,9928,68389,1200,8034,8540,54558,11937,182085,2234,45056,9169,115507,97,6076,128,10159,0,2,0,2,0,9,0,5,0,0,0,0,1645,9731,1624,9574,1517,7585,128,2146
6/22/17,9811,21,1,163,7166,9750,76610,813,8526,8614,57513,11935,203832,1594,48816,9429,123678,32,31,9684,71450,773,8150,8614,57513,11711,192037,1491,46201,9429,123678,92,6098,153,10243,0,2,0,2,0,9,0,5,0,0,0,0,1544,11272,1526,11098,1379,8964,165,2308
6/23/17,9832,21,0,225,7211,12652,82689,1920,8748,10543,62581,15801,216807,3460,52131,11195,132419,33,28,12637,77416,1862,8399,10543,62581,15589,205060,3367,49529,11195,132419,140,6180,225,10402,0,2,0,2,0,9,0,5,0,0,0,0,2068,13336,2042,13138,1884,10848,184,2488
6/24/17,9866,35,1,236,7221,13384,87582,2219,9366,10761,66798,17627,229999,5052,56616,11567,140534,20,18,13277,82182,2193,9018,10761,66798,17367,218250,4965,53975,11567,140534,140,6246,197,10531,2,4,3,5,0,9,0,5,0,0,0,0,2063,15394,2039,15174,1881,12729,182,2665
6/25/17,9890,27,3,222,7311,14092,93800,948,9447,12228,71596,16909,242506,2047,58520,13120,149784,40,37,13988,87949,890,9056,12228,71596,16323,230479,1879,55753,13120,149784,124,6318,205,10704,1,5,1,6,0,9,0,5,0,0,0,0,2384,17776,2357,17529,2145,14874,239,2902
6/26/17,9908,19,1,114,7316,6101,93916,690,9458,4626,71924,7576,246376,1489,59976,4882,151377,27,18,6010,88411,675,9064,4626,71924,7275,234356,1417,57161,4882,151377,68,6347,104,10754,0,5,0,6,0,9,0,5,0,0,0,0,852,18626,837,18364,713,15587,139,3039
6/27/17,9910,3,1,11,7230,533,92502,328,9464,22,70760,787,243697,491,60430,22,148309,10,8,486,87232,319,9074,22,70760,698,231864,455,57611,22,148309,11,6337,17,10723,0,5,0,6,0,9,0,5,0,0,0,0,49,18673,48,18411,4,15591,45,3082
6/28/17,9915,1,1,93,7158,1288,90319,974,9522,0,69335,2387,242545,1835,62233,0,145503,14,12,1269,85752,971,9149,0,69335,2294,231250,1784,59392,0,145503,61,6322,92,10732,0,5,0,6,0,6,0,3,0,0,0,0,12,18681,12,18419,0,15591,12,3090
